;MathematicalNaturalSciencesShareRF;EngineeringTechnologyTechnicalSciencesShareR;HealthcareMedicalSciencesShareRF;AgricultureAgriculturalSciencesShareRF;SocialSciencesShareRF;EducationPedagogicalSciencesShareRF;HumanitiesShareRF;ArtCultureShareRF;MathematicalNaturalSciencesGivenContingentStudents;EngineeringTechnologyTechnicalSciencesGivenContingentStudents;HealthcareMedicalSciencesGivenContingentStudents;AgricultureAgriculturalSciencesGivenContingentStudents;SocialSciencesShareRF;EducationPedagogicalSciencesGivenContingentStudents;HumanitiesGivenContingentStudents;ArtCultureGivenContingentStudents;
1;0,01;0;0;0;0;0;0;0;231;326;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0,01;0;439,3;0;0;161,4;77,5;100;210,4;
3;0,01;0,02;0;0;0;0;0;0;254;3988,8;0;0;139,8;0;0;0;
4;0,16;0,01;0;0;0;0;0;0;6424;1239;0;0;1;0;0;0;
5;0;0,02;0;0;0;0;0,01;0;153;3921,5;0;0;333,2;0;241;68;
6;0,01;0,04;0;0;0,01;0;0;0;333;6399,3;0;0;2015,3;0;0;0;
7;0,01;0,04;0;0;0,01;0;0;0,03;195;6315,8;0;0;1112;0;0;700,5;
8;0,01;0,03;0;0;0,01;0;0,03;0;553;5791,9;0;0;1211;0;880;0;
9;0,1;0,02;0;0;0,11;0,01;0,1;0,13;3885,3;3392;0;0;22735,3;139;3201,5;3715;
10;0,02;0,03;0;0;0;0;0;0;739;4175,5;54;0;912;0;0;0;
11;0,05;0,02;0,15;0,11;0,04;0,01;0,08;0,01;2111,2;2827,3;6300,8;959,5;8826,2;140;2492,4;160;
12;0;0,06;0;0;0,03;0;0,01;0;100;10645,2;0;0;6336,1;0;193,7;0;
13;0;0,01;0;0,02;0;0;0;0;130;1889,7;0;169;336,4;0;0;15;
14;0,04;0,08;0;0;0,01;0;0,01;0;1438,3;13261,7;0;0;1284,8;0;353,3;0;
15;0;0,03;0;0;0,01;0;0;0;99;4453,6;0;0;1603,3;0;0;0;
16;0;0,01;0;0;0;0;0;0;0;2232,3;0;0;0;0;0;0;
17;0;0,03;0;0;0;0;0;0;0;4348;0;0;250;0;0;0;
18;0,01;0,06;0;0;0,01;0;0;0;194;9692,8;0;0;995,3;0;0;0;
19;0,02;0,02;0;0,56;0;0,01;0;0;881;3317,2;0;4971,7;948,4;202,6;0;0;
20;0;0,02;0;0;0,01;0;0,01;0,07;126;2949,6;5;0;2224,6;40,2;320,5;1940,4;
21;0,02;0,03;0;0;0;0;0;0;844;5533;0;0;76,6;0;19,3;0;
22;0,04;0,12;0;0;0,02;0;0;0,01;1647;20458,3;0;0;3960,3;0;119,7;173,1;
23;0;0,02;0;0;0;0;0;0;69;2783,7;0;0;0;0;0;0;
24;0,03;0,12;0;0;0,01;0;0,01;0;1137;20120;0;0;1014;0;188;107;
25;0,01;0,02;0;0;0;0;0;0;462;2697,6;0;0;0;0;0;0;
26;0;0,02;0;0,09;0;0;0;0;107;3254,2;0;763;311,4;0;0;0;
27;0,01;0,01;0;0;0;0,01;0;0;179;1501,7;0;30,4;705,9;206,6;0;72;
28;0,01;0,07;0;0;0,01;0;0,01;0;572;11625,1;0;0;1273,3;0;152;88,3;
29;0,01;0,01;0;0;0;0;0;0;563,4;1932,7;0;0;128,7;0;0;0;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;0;0,03;0;0;0,01;0;0;0;99;4453,6;0;0;1603,3;0;0;
;;0;0,01;0;0;0;0;0;0;0;2232,3;0;0;0;0;0;0
;;0;0,03;0;0;0;0;0;0;0;4348;0;0;250;0;0;0
;;0,01;0,06;0;0;0,01;0;0;0;194;9692,8;0;0;995,3;0;0;0
;;0,02;0,02;0;0,56;0;0,01;0;0;881;3317,2;0;4971,7;948,4;202,6;0;0
;;0;0,02;0;0;0,01;0;0,01;0,07;126;2949,6;5;0;2224,6;40,2;320,5;0
;;0,02;0,03;0;0;0;0;0;0;844;5533;0;0;76,6;0;19,3;1940,4
;;0,04;0,12;0;0;0,02;0;0;0,01;1647;20458,3;0;0;3960,3;0;119,7;0
;;0;0,02;0;0;0;0;0;0;69;2783,7;0;0;0;0;0;173,1
;;;;;;;;;;;;;;;;;0
